,date,geo_code,inf_hosp_intensive,inf_hosp_nonintensive,inf_home,inf_recovered,inf_dead,inf_tot_cum
197,2020-03-04T17:00:00,18,0,0,1,0,0,1
198,2020-03-04T17:00:00,19,0,5,11,2,0,18
199,2020-03-04T17:00:00,20,0,1,1,0,0,2
200,2020-03-05T17:00:00,1,17,43,46,0,2,108
201,2020-03-05T17:00:00,2,0,0,2,0,0,2
202,2020-03-05T17:00:00,3,244,1169,364,376,98,2251
203,2020-03-05T17:00:00,4,0,3,5,0,0,8
204,2020-03-05T17:00:00,5,24,92,264,17,10,407
205,2020-03-05T17:00:00,6,0,4,17,0,0,21
206,2020-03-05T17:00:00,7,3,11,7,4,3,28
207,2020-03-05T17:00:00,8,32,327,299,10,30,698
208,2020-03-05T17:00:00,9,3,26,31,1,0,61
209,2020-03-05T17:00:00,10,1,1,7,0,0,9
210,2020-03-05T17:00:00,11,19,57,44,0,4,124
211,2020-03-05T17:00:00,12,7,20,14,3,0,44
212,2020-03-05T17:00:00,13,0,8,0,0,0,8
213,2020-03-05T17:00:00,14,0,4,3,0,0,7
214,2020-03-05T17:00:00,15,0,12,33,0,0,45
215,2020-03-05T17:00:00,16,1,5,6,1,1,14
216,2020-03-05T17:00:00,17,0,0,1,0,0,1
217,2020-03-05T17:00:00,18,0,1,1,0,0,2
218,2020-03-05T17:00:00,19,0,5,11,2,0,18
219,2020-03-05T17:00:00,20,0,2,0,0,0,2
220,2020-03-06T17:00:00,1,30,57,52,0,4,143
221,2020-03-06T17:00:00,2,0,0,7,0,0,7
222,2020-03-06T17:00:00,3,309,1622,77,469,135,2612
223,2020-03-06T17:00:00,4,0,8,6,0,0,14
224,2020-03-06T17:00:00,5,27,117,310,22,12,488
225,2020-03-06T17:00:00,6,0,4,24,3,0,31
226,2020-03-06T17:00:00,7,5,12,7,5,3,32
227,2020-03-06T17:00:00,8,53,397,366,17,37,870
228,2020-03-06T17:00:00,9,5,35,38,1,0,79
229,2020-03-06T17:00:00,10,2,2,12,0,0,16
230,2020-03-06T17:00:00,11,20,73,62,0,4,159
231,2020-03-06T17:00:00,12,8,26,16,3,1,54
232,2020-03-06T17:00:00,13,0,9,0,0,0,9
233,2020-03-06T17:00:00,14,2,3,7,0,0,12
234,2020-03-06T17:00:00,15,0,12,45,0,0,57
235,2020-03-06T17:00:00,16,1,5,9,1,1,17
236,2020-03-06T17:00:00,17,0,1,2,0,0,3
237,2020-03-06T17:00:00,18,0,2,2,0,0,4
238,2020-03-06T17:00:00,19,0,7,15,2,0,24
239,2020-03-06T17:00:00,20,0,2,3,0,0,5
240,2020-03-07T18:00:00,1,38,110,54,0,5,207
241,2020-03-07T18:00:00,2,0,1,7,0,0,8
242,2020-03-07T18:00:00,3,359,1661,722,524,154,3420
243,2020-03-07T18:00:00,4,1,14,8,0,0,23
244,2020-03-07T18:00:00,5,41,123,341,25,13,543
245,2020-03-07T18:00:00,6,1,7,31,3,0,42
246,2020-03-07T18:00:00,7,6,26,10,5,4,51
247,2020-03-07T18:00:00,8,64,464,409,25,48,1010
248,2020-03-07T18:00:00,9,7,54,51,1,0,113
249,2020-03-07T18:00:00,10,2,2,20,0,0,24
250,2020-03-07T18:00:00,11,36,94,71,0,6,207
251,2020-03-07T18:00:00,12,8,43,21,3,1,76
252,2020-03-07T18:00:00,13,0,11,0,0,0,11
253,2020-03-07T18:00:00,14,2,3,9,0,0,14
254,2020-03-07T18:00:00,15,0,16,45,0,0,61
255,2020-03-07T18:00:00,16,2,9,12,1,2,26
256,2020-03-07T18:00:00,17,0,1,2,0,0,3
257,2020-03-07T18:00:00,18,0,2,2,0,0,4
